# Väliaikainen siemendata: Kisariihen salibandyottelut, luettu 20.9.2026
# lähteestä https://tulospalvelu.salibandy.fi/location/734827322/fixtures
#
# Tämä tiedosto on vain sitä varten, että sivulla on näytettävää ennen kuin
# API-avaimet ovat käytössä. Kun scripts/paivita.py ajetaan avaimella,
# nämä korvautuvat rajapinnan omalla datalla automaattisesti.
#
# Muoto:  # pvm  -> päivä, sen jälkeen  sarja | koti | klo | vieras
#
# pvm 2026-09-26
U14 tytöt LR valkoinen | PöU | 10:00 | Karhut White
U14 tytöt LR valkoinen | SB Somero | 11:00 | LaJy
U14 tytöt LR valkoinen | Karhut White | 13:00 | SB Somero
U14 tytöt LR valkoinen | LaJy | 14:00 | PöU
# pvm 2026-10-03
U16-17 tytöt LR | PöU | 10:00 | FBC Turku/SalPa U14T
U16-17 tytöt LR | SBS Masku | 11:00 | LaJy-TPS
U16-17 tytöt LR | FBC Turku/SalPa U14T | 12:00 | SB Naantali
U16-17 tytöt LR | LaJy-TPS | 13:00 | Karhut
U16-17 tytöt LR | SB Naantali | 14:00 | SBS Masku
U16-17 tytöt LR | Karhut | 15:00 | PöU
# pvm 2026-10-10
Naisten Suomisarja | Nystars | 10:00 | PöU
Naisten Suomisarja | AFC Campus | 11:20 | SBSV
Naisten Suomisarja | SBSV | 13:40 | Nystars
Naisten Suomisarja | PöU | 15:00 | AFC Campus
# pvm 2026-10-17
U12 tytöt LR (syksy) | PöU | 10:00 | Karhut
U12 tytöt LR (syksy) | SalBa | 10:45 | Karhut
U12 tytöt LR (syksy) | SalBa | 11:30 | PöU
U12 tytöt LR (syksy) | TPS musta | 12:10 | Karhut
U12 tytöt LR (syksy) | FBC Turku Sininen | 12:50 | SalBa
U12 tytöt LR (syksy) | SBS Wirmo Keltainen | 13:30 | Airisto SB
U12 tytöt LR (syksy) | FBC Turku Sininen | 14:10 | TPS musta
U12 tytöt LR (syksy) | FBC Turku Sininen | 14:55 | Airisto SB
U12 tytöt LR (syksy) | PöU | 15:35 | SBS Wirmo Keltainen
# pvm 2026-10-24
U16 pojat LR H | PöU Keltainen | 14:00 | Koitto/Satabandy P16
U16 pojat LR H | SalBa | 15:00 | Airisto SB/Ruoska
U16 pojat LR H | Koitto/Satabandy P16 | 16:00 | SB Somero
U16 pojat LR H | Airisto SB/Ruoska | 17:00 | KK-V
U16 pojat LR H | SB Somero | 18:00 | SalBa
U16 pojat LR H | KK-V | 19:00 | PöU Keltainen
# pvm 2026-10-30
M3DIV LR | PöU | 19:30 | FC KYPS
# pvm 2026-10-31
M3DIV LR | TVV | 10:30 | AFC Campus
M3DIV LR | FC KYPS | 13:00 | TVV
M3DIV LR | AFC Campus | 14:30 | PöU
# pvm 2026-11-20
M3DIV LR | PöU | 19:30 | FC KYPS
# pvm 2026-11-28
U15 pojat LR H | PöU Musta | 15:00 | SalBa valkoinen
U15 pojat LR H | KK-V | 16:00 | TPS Valkoinen
U15 pojat LR H | SalBa valkoinen | 17:00 | SBS Lieto
U15 pojat LR H | TPS Valkoinen | 18:00 | PöU Musta
U15 pojat LR H | SBS Lieto | 19:00 | KK-V
# pvm 2026-12-18
M3DIV LR | PöU | 19:30 | KBV
# pvm 2026-12-19
Naisten Suomisarja | PöU | 14:00 | SBSV
Naisten Suomisarja | AFC Campus | 15:20 | HIFK
Naisten Suomisarja | SBSV | 17:40 | AFC Campus
Naisten Suomisarja | HIFK | 19:00 | PöU
# pvm 2027-01-09
U16 pojat kilpa LR+SS | PöU Musta | 10:00 | TPS
U16 pojat kilpa LR+SS | TPS | 11:30 | FoSu Sininen
U16 pojat kilpa LR+SS | FoSu Sininen | 13:00 | PöU Musta
N4DIV LR | PöU 3 | 16:00 | Karhut 2
N4DIV LR | StrutsiMutsit | 17:00 | RaSa
N4DIV LR | Karhut 2 | 18:00 | Airisto SB II
N4DIV LR | RaSa | 19:00 | PöU 3
N4DIV LR | Airisto SB II | 20:00 | StrutsiMutsit
# pvm 2027-01-16
M3DIV LR | FC KYPS | 12:00 | TVA
M3DIV LR | TVV | 13:30 | OU
M3DIV LR | TVA | 15:00 | PöU
M3DIV LR | OU | 16:30 | AFC Campus
M3DIV LR | PöU | 18:00 | TVV
M3DIV LR | AFC Campus | 19:30 | FC KYPS
# pvm 2027-01-30
U16-17 tytöt LR | PöU | 14:00 | Karhut
U16-17 tytöt LR | LaJy-TPS | 15:00 | FBC Turku/SalPa U14T
U16-17 tytöt LR | Karhut | 16:00 | SBS Masku
U16-17 tytöt LR | FBC Turku/SalPa U14T | 17:00 | SB Naantali
U16-17 tytöt LR | SBS Masku | 18:00 | LaJy-TPS
U16-17 tytöt LR | SB Naantali | 19:00 | PöU
# pvm 2027-02-06
N3DIV LR | PöU 2 | 09:00 | SBS Littoinen
N3DIV LR | Salamanders 2 | 10:00 | SB Naantali
N3DIV LR | SBS Littoinen | 11:00 | SC Stickline
N3DIV LR | SB Naantali | 12:00 | PöU 2
N3DIV LR | SC Stickline | 13:00 | Salamanders 2
N4DIV LR | PöU 3 | 15:00 | Karhut 2
N4DIV LR | LaJy | 16:00 | StrutsiMutsit
N4DIV LR | Karhut 2 | 17:00 | Airisto SB II
N4DIV LR | StrutsiMutsit | 18:00 | PöU 3
N4DIV LR | Airisto SB II | 19:00 | LaJy
# pvm 2027-02-13
Naisten Suomisarja | AFC Campus | 10:00 | PöU
Naisten Suomisarja | Nystars | 12:15 | AFC Campus
Naisten Suomisarja | PöU | 14:30 | Nystars
# pvm 2027-02-27
M3DIV LR | PöU | 14:00 | TVA
M3DIV LR | FC KYPS | 15:30 | OU
M3DIV LR | TVA | 18:00 | FC KYPS
M3DIV LR | OU | 19:30 | PöU
# pvm 2027-03-06
M3DIV LR | PöU | 19:30 | FC KYPS
# pvm 2027-03-20
U16 pojat LR H | PöU Keltainen | 10:00 | SalBa
U16 pojat LR H | Koitto/Satabandy P16 | 11:00 | Airisto SB/Ruoska
U16 pojat LR H | SalBa | 12:00 | KK-V
U16 pojat LR H | Airisto SB/Ruoska | 13:00 | SB Somero
U16 pojat LR H | KK-V | 14:00 | Koitto/Satabandy P16
U16 pojat LR H | SB Somero | 15:00 | PöU Keltainen
